Course ID,Department,Course,Section,Course Title,Name,Schedule,LMT/ENR/WL,LMT,ENR,WL,Location,Yr,Trm,CRDTS
CH 211 03,CH,211,3,Organic Chemistry I Lab 3,"Durrwachter, J",H 7:45AM-11:15AM,18/14/0,18,14,0,SC 226,2023-24,FA,0
CH 211 04,CH,211,4,Organic Chemistry I Lab 4,"Durrwachter, J",H 1:00PM-4:30PM,18/8/0,18,8,0,SC 226,2023-24,FA,0
CH 217 01,CH,217,1,Analytical Chemistry,"Stephens, N",M W F 7:45AM-8:50AM,36/15/0,36,15,0,SC 134,2023-24,FA,1
CH 217 01,CH,217,1,Analytical Chemistry Lab 1,"Stephens, N",T 1:00PM-3:45PM,18/6/0,18,6,0,SC 230,2023-24,FA,0
CH 217 02,CH,217,2,Analytical Chemistry Lab 2,"Stephens, N",H 1:00PM-3:45PM,18/9/0,18,9,0,SC 230,2023-24,FA,0
CH 315 01,CH,315,1,Quantum Chemistry,"DeVries, C",M W F 2:30PM-3:35PM,18/6/0,18,6,0,SC 214,2023-24,FA,1
CH 315 01,CH,315,1,Quantum Chemistry Lab,"DeVries, C",T 1:00PM-3:45PM,18/6/0,18,6,0,SC 249,2023-24,FA,0
CH 325 01,CH,325,1,Biochemistry,"Ellerbroek, S",MWF 1:15PM-2:20PM,36/40/0,36,40,0,SC 134,2023-24,FA,1
CH 325 01,CH,325,1,Biochemistry Lab 1,"Ellerbroek, S",H 8:00AM-10:45AM,18/19/0,18,19,0,SC 110,2023-24,FA,0
CH 325 02,CH,325,2,Biochemistry Lab 2,"Ellerbroek, S",H 1:00PM-3:45PM,18/21/0,18,21,0,SC 110,2023-24,FA,0
CH 455 01,CH,455,1,Methods of Biochemical Research,"Ellerbroek, S",T 6:30PM-7:35PM,8/11/00,8,11,0,SC 141,2023-24,FA,0.5
COM 100 01,COM,100,1,Introduction to Communication,"Ohrt, P",T H 9:35AM-11:15AM,50/30/0,50,30,0,SC 102,2023-24,FA,1
COM 112 10,COM,112,10,Oral Communication,"Ohrt, P",M W F 9:00AM-10:05AM,25/24/0,25,24,0,MC 134,2023-24,FA,0.5
COM 112 20,COM,112,20,Oral Communication,"Ohrt, P",M W F 9:00AM-10:05AM,25/11/0,25,11,0,MC 134,2023-24,FA,0.5
COM 112 21,COM,112,21,Oral Communication,"Johnson, R",M W F 2:30PM-3:35PM,25/25/1,25,25,1,MC 225,2023-24,FA,0.5
COM 123 01,COM,123,1,News Practicum,"Johnson, R",,99/3/0,99,3,0,,2023-24,FA,0.25
COM 124 01,COM,124,1,Film Practicum,"Johnson, R",,99/6/0,99,6,0,,2023-24,FA,0.25
COM 126 01,COM,126,1,Radio Practicum,"Ohrt, P",,99/7/0,99,7,0,,2023-24,FA,0.25
COM 127 01,COM,127,1,Organizational & PR Practicum,"Pier, P",,99/8/0,99,8,0,,2023-24,FA,0.25
COM 129 01,COM,129,1,Sports Media Practicum,"Pier, P",,99/5/0,99,5,0,,2023-24,FA,0.25
COM 147 01,COM,147,1,"Sports, Media and Society","Johnson, R",M W F 9:00AM-10:05AM,25/18/0,25,18,0,MC 225,2023-24,FA,1
COM 211 01,COM,211,1,Video Production,"Johnson, R",M W F 10:45AM-11:50AM,16/7/0,16,7,0,MC 133,2023-24,FA,1
COM 305 01,COM,305,1,Print Journalism,"Ohrt, P",M W F 2:30PM-3:35PM,18/7/0,18,7,0,MC 133,2023-24,FA,1
COM 320 01,COM,320,1,Digital Production I,"Johnson, R",T H 9:35AM-11:15AM,16/10/0,16,10,0,MC 134,2023-24,FA,1
COM 346 01,COM,346,1,Organizational/PR Writing Technique,"Pier, P",T H 1:00PM-2:40PM,24/10/0,24,10,0,MC 225,2023-24,FA,1
COM 355 01,COM,355,1,Persuasion,"Pier, P",M W F 1:15PM-2:20PM,16/15/0,16,15,0,MC 225,2023-24,FA,1
CS 110 01,CS,110,1,Introduction to Information Systems,"Hamilton, P",T H 9:35AM-11:15AM,34/33/0,34,33,0,SC 247,2023-24,FA,1
CS 120 01,CS,120,1,Intro to Computers and Programming,"Letsche, T",M W F 7:45AM-8:50AM,34/17/0,34,17,0,SC 345,2023-24,FA,1
CS 120 02,CS,120,2,Intro to Computers and Programming,"Zelle, J",M W F 9:00AM-10:05AM,34/15/0,34,15,0,SC 345,2023-24,FA,1
CS 230 01,CS,230,1,Organization of Prog Lang,"Zelle, J",M W F 12:00PM-1:05PM,34/18/0,34,18,0,SC 345,2023-24,FA,1
CS 250 01,CS,250,1,Systems Analysis,"Letsche, T",M WF 10:45AM-11:50AM,34/15/0,34,15,0,SC 345,2023-24,FA,1
CS 385 01,CS,385,1,Concurrent Systems Fundamentals,"Letsche, T",T H 1:00PM-2:40PM,34/19/0,34,19,0,SC 345,2023-24,FA,1
EC 117 01,EC,117,1,Principles of Macroeconomics,"Quaicoe, N",M W F 9:00AM-10:05AM,45/44/0,45,44,0,WBC 214,2023-24,FA,1
EC 117 02,EC,117,2,Principles of Macroeconomics,"Ross, C",M W F 12:00PM-1:05PM,45/43/0,45,43,0,WBC 117,2023-24,FA,1
EC 118 02,EC,118,2,Principles of Microeconomics,"Quaicoe, N",T H 9:35AM-11:15AM,45/31/0,45,31,0,WBC 214,2023-24,FA,1
EC 342 01,EC,342,1,Financial Markets and Modern Money,"Quaicoe, N",M W F 10:45AM-11:50AM,40/25/0,40,25,0,WBC 116,2023-24,FA,1
EC 401 01,EC,401,1,Econometrics,"Quaicoe, N",M W F 12:00PM-1:05PM,20/17/0,20,17,0,WBC 215,2023-24,FA,1
EC 461 01,EC,461,1,Senior Thesis I,"Quaicoe, N",T 1:00PM-2:40PM,18/12/0,18,12,0,WBC 215,2023-24,FA,0.5
ED 100 01,ED,100,1,Foundations of American Education,"Zittergruen, G",MWF 9:00AM-10:05AM,30/27/0,30,27,0,LIB CLAB,2023-24,FA,1
ED 100 02,ED,100,2,Foundations of American Education,"Zittergruen, G",MWF 12:00PM-1:05PM,30/29/0,30,29,0,LIB CLAB,2023-24,FA,1
ED 181 01,ED,181,1,Field Experience in Education,"Zittergruen, G",,60/58/0,60,58,0,,2023-24,FA,0
ED 212 01,ED,212,1,Human Relations,"Achirri, K",M W F 12:00PM-1:05PM,30/22/0,30,22,0,OM 100,2023-24,FA,1
ED 214 01,ED,214,1,Intro Mild & Moderate Disabilities,"Dickey, J",T H 1:00PM-2:40PM,25/11/0,25,11,0,OM 100,2023-24,FA,1
ED 215 01,ED,215,1,Psychology of the Exceptional Child,"Dickey, J",T H 7:45AM-9:25AM,25/6/0,25,6,0,OM 100,2023-24,FA,1
ED 215 02,ED,215,2,Psychology of the Exceptional Child,"Dickey, J",T H 9:35AM-11:15AM,25/19/0,25,19,0,OM 100,2023-24,FA,1
ED 223 01,ED,223,1,Language Development,"Achirri, K",T H 1:00PM-2:40PM,25/15/0,25,15,0,OM 101,2023-24,FA,1
ED 230 01,ED,230,1,Teaching in the Secondary School,"Snyder, R",T H 9:35AM-11:15AM,25/21/0,25,21,0,CLNA 127,2023-24,FA,1
ED 282 01,ED,282,1,Fld Exp:Teaching in the Sec School,"Snyder, R",,25/21/0,25,21,0,,2023-24,FA,0
ED 284 01,ED,284,1,Field Exp: Mild & Mod Disabilies,"Dickey, J",,25/10/0,25,10,0,,2023-24,FA,0
ED 315 01,ED,315,1,Educational Psychology,"Snyder, R",M W F 7:45AM-8:50AM,25/14/0,25,14,0,OM 101,2023-24,FA,1
ED 321 01,ED,321,1,Reading in the Elementary School,"Sloan, K",M W F 9:00AM-10:05AM,25/13/0,25,13,0,OM 100,2023-24,FA,1
ED 350 01,ED,350,1,Content Area Reading Strategies,"Sloan, K",TH 7:45AM-9:25AM,25/22/0,25,22,0,OM 200,2023-24,FA,1
ED 356 01,ED,356,1,Curr Dev & Guid of Young Children,"Moeller, S",M W F 9:00AM-10:05AM,25/9/0,25,9,0,OM 101,2023-24,FA,1
ED 361 01,ED,361,1,Middle School Curriculum,"Snyder, R",M 6:30PM-9:30PM,30/5/0,30,5,0,OM 100,2023-24,FA,1
ED 365 01,ED,365,1,Transitioning and Exceptionalities,"Tutu, I",T 6:30PM-9:30PM,25/4/0,25,4,0,OM 200,2023-24,FA,1
ED 383 01,ED,383,1,Field Experience:Educational Psych,"Snyder, R",,25/14/0,25,14,0,,2023-24,FA,0
ED 384 01,ED,384,1,Field Experience: Middle School,"Snyder, R",,25/5/0,25,5,0,,2023-24,FA,0
ED 385 01,ED,385,1,Field Exper:Elem School Reading,"Sloan, K",,25/13/0,25,13,0,,2023-24,FA,0
ED 470 01,ED,470,1,Secondary Content Methods: SS,"Snyder, R",T H 1:00PM-2:40PM,25/7/0,25,7,0,CLNA 127,2023-24,FA,1
ED 480 01,ED,480,1,Student Teaching: Special Education,"Dickey, J",,8/2/00,8,2,0,,2023-24,FA,2
ED 480 02,ED,480,2,Student Teaching: Special Education,"Moeller, S",,6/1/00,6,1,0,,2023-24,FA,2
ED 482 01,ED,482,1,Elem Student Teaching & Capstone,"Sloan, K",,18/1/0,18,1,0,,2023-24,FA,4
ED 482 01,ED,482,1,Elem Student Teaching & Capstone,"Hastings, A",,6/1/00,6,1,0,,2023-24,FA,4
ED 482 02,ED,482,2,Elem Student Teaching & Capstone,"Dickey, J",,12/2/00,12,2,0,,2023-24,FA,2
ED 482 03,ED,482,3,Elem Student Teaching & Capstone,"TBA, T",,6/0/0,6,0,0,,2023-24,FA,1
ED 482 04,ED,482,4,Elem Student Teaching & Capstone,"Moeller, S",,6/1/00,6,1,0,,2023-24,FA,4
ED 482 05,ED,482,5,Elem Student Teaching & Capstone,"Sloan, K",,6/1/00,6,1,0,,2023-24,FA,2
ED 482 06,ED,482,6,Elem Student Teaching & Capstone,"Moeller, S",,6/2/00,6,2,0,,2023-24,FA,2
ED 483 01,ED,483,1,Sec Student Teaching Capstone & Sem,"Zittergruen, G",,25/1/0,25,1,0,,2023-24,FA,4
ED 483 02,ED,483,2,Sec Student Teaching Capstone & Sem,"TBA, T",,10/0/0,10,0,0,,2023-24,FA,2
ED 483 03,ED,483,3,Sec Student Teaching Capstone & Sem,"Bechtel, M",,6/1/00,6,1,0,,2023-24,FA,4
ED 484 01,ED,484,1,PreK/K Student Teaching & Capstone,"Sloan, K",,10/1/00,10,1,0,,2023-24,FA,2
ED 484 02,ED,484,2,PreK/K Student Teaching & Capstone,"Moeller, S",,10/1/00,10,1,0,,2023-24,FA,2
ED 485 01,ED,485,1,Music Student Teaching & Capstone,"Toliver, N",,12/11/00,12,11,0,,2023-24,FA,3.5
ED 485 02,ED,485,2,Music Student Teaching & Capstone,"Muntefering, S",,12/3/00,12,3,0,,2023-24,FA,3.5
ED 486 01,ED,486,1,PE Student Teaching: K-12 &Capstone,"Johnson, A",,25/2/0,25,2,0,,2023-24,FA,4
ED 486 02,ED,486,2,PE Student Teaching: K-12 &Capstone,"TBA, T",,25/0/0,25,0,0,,2023-24,FA,3
ED 487 01,ED,487,1,K-12 Art St Tchg & Capstone Sem,"TBA, T",,6/0/0,6,0,0,,2023-24,FA,4
ED 488 01,ED,488,1,Middle School Student Teaching,"TBA, T",,6/0/0,6,0,0,,2023-24,FA,2
ED 489 01,ED,489,1,5-12 Health Student Teaching,"TBA, T",,25/0/0,25,0,0,,2023-24,FA,1
ED 526 01,ED,526,1,Coop Teacher Supervision/Assessment,"Snyder, R",,25/0/0,25,0,0,,2023-24,FA,0.25
EI 101 01,EI,101,1,American English Language & Culture,"Amin, Z",M W F 1:15PM-2:20PM,15/5/0,15,5,0,FAC 035,2023-24,FA,1
EI 115 01,EI,115,1,College Composition Intensive,"Boss, J",M W F 12:00PM-1:05PM,20/5/0,20,5,0,MC 134,2023-24,FA,1
EN 115 01,EN,115,1,College Composition,"Lynch, S",M W F 9:00AM-10:05AM,20/20/0,20,20,0,W 2242,2023-24,FA,1
EN 115 02,EN,115,2,College Composition,"Lynch, S",M W F 10:45AM-11:50AM,20/20/0,20,20,0,W 2242,2023-24,FA,1
EN 115 03,EN,115,3,College Composition,"Platte, K",M W F 12:00PM-1:05PM,21/21/0,21,21,0,SC 249,2023-24,FA,1
EN 115 04,EN,115,4,College Composition,"Platte, K",M W F 2:30PM-3:35PM,20/20/0,20,20,0,WBC 217,2023-24,FA,1
EN 115 05,EN,115,5,College Composition,"Gruenwald, J",T H 7:45AM-9:25AM,20/20/0,20,20,0,LH 329,2023-24,FA,1
EN 115 06,EN,115,6,College Composition,"Gruenwald, J",T H 9:35AM-11:15AM,20/20/0,20,20,0,LH 329,2023-24,FA,1
EN 155 01,EN,155,1,Introduction to Film,"Lynch, S",T H 1:00PM-2:40PM,30/30/0,30,30,0,LH 330,2023-24,FA,1
EN 201 01,EN,201,1,Cornerstones of British Literature,"Clark, R",M W F 2:30PM-3:35PM,25/10/0,25,10,0,CLNA 127,2023-24,FA,1
EN 205 01,EN,205,1,Cornerstones of World Literature,"Boss, J",M W F 9:00AM-10:05AM,25/12/0,25,12,0,SC 140,2023-24,FA,1
EN 263 01,EN,263,1,Race and Ethnicity in U.S. Culture,"Boss, J",M W F 2:30PM-3:35PM,25/15/0,25,15,0,LH 327,2023-24,FA,1
EN 295 01,EN,295,1,Spec Topics: Gaming as Storytelling,"Lynch, S",T H 9:35AM-11:15AM,25/11/0,25,11,0,LH 330,2023-24,FA,1
EN 333 01,EN,333,1,Advanced Creative Writing,"Groninga, K",M W F 1:15PM-2:20PM,15/6/0,15,6,0,LH 327,2023-24,FA,1
EN 353 01,EN,353,1,Genders and Representations,"Groninga, K",M W F 12:00PM-1:05PM,25/24/0,25,24,0,LH 327,2023-24,FA,1
EN 470 01,EN,470,1,Sec Content Methods: English/Journ,"Platte, K",T H 1:00PM-2:40PM,25/6/0,25,6,0,LH 329,2023-24,FA,1
ENV 460 01,ENV,460,1,Perspectives in Environ Science,"McCullough, D",W 6:30PM-8:15PM,25/17/0,25,17,0,SC 145,2023-24,FA,0.5
ES 105 01,ES,105,1,Introductory Engineering Seminar,"Black, D",W F 7:45AM-8:50AM,30/24/0,30,24,0,SC 214,2023-24,FA,0.5
ES 151 01,ES,151,1,Modern Engineering Analysis I,"Faidley, L",T H 9:35AM-11:15AM,24/21/0,24,21,0,SC 245,2023-24,FA,0.5
ES 206 01,ES,206,1,Thermal Science,"Black, D",M W F 1:15PM-2:20PM,50/16/0,50,16,0,SC 214,2023-24,FA,1
ES 310 01,ES,310,1,Dynamics,"Mahmoud, M",M W F 12:00PM-1:05PM,24/17/0,24,17,0,SC 247,2023-24,FA,1
ES 320 01,ES,320,1,Engineering Materials,"Faidley, L",M W F 9:00AM-10:05AM,24/20/0,24,20,0,SC 244,2023-24,FA,1
ES 360 01,ES,360,1,Preliminary Design Project,"Faidley, L",,12/14/00,12,14,0,,2023-24,FA,0.5
ES 402 01,ES,402,1,Engineering Seminar,"Black, D",M 7:00PM-8:40PM,24/12/0,24,12,0,SC 245,2023-24,FA,0.5
ES 412 01,ES,412,1,Signal Processing and Communication,"Black, D",M W F 2:30PM-3:35PM,24/4/0,24,4,0,LIB 353,2023-24,FA,1
EXS 217 01,EXS,217,1,Human Anatomy and Physiology I,"Suckow, A",M W F 2:30PM-3:35PM,48/40/0,48,40,0,W 2006,2023-24,FA,1
EXS 217 01,EXS,217,1,Human Anatomy & Physiology I Lab 1,"Suckow, A",T 8:00AM-10:45AM,24/20/0,24,20,0,W 2007,2023-24,FA,0
EXS 217 02,EXS,217,2,Human Anatomy & Physiology I Lab 2,"Suckow, A",T 1:00PM-3:45PM,24/20/0,24,20,0,W 2007,2023-24,FA,0
EXS 225 01,EXS,225,1,Human Nutrition,"Chapman, R",M W F 10:45AM-11:50AM,40/31/0,40,31,0,W 2006,2023-24,FA,1
EXS 365 01,EXS,365,1,Science of Muscle Growth,"Dietz Parsons, P",T H 1:00PM-2:40PM,25/23/0,25,23,0,W 2006,2023-24,FA,1
